# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Apr 29 08:04:24 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 5.00000 0.0900000036 1.4676543549    0.090 -0.764  3.4511  2.913    0  0.000  0.545     0.00     0.00 -1 -2.56e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.679 8.388 10.462 7.025
0.0152 0.01508 5.00000 0.1000000015 1.5704020300    0.100 -0.688  3.4553  2.899    0  0.000  0.545     0.00     0.00 -1 -2.93e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.491 8.175 10.223 6.818
0.0152 0.01508 5.00000 0.1067722067 1.6343747511    0.107 -0.644  3.4585  2.896    0  0.000  0.545     0.00     0.00 -1 -3.15e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.380 8.043 10.071 6.692
0.0152 0.01508 5.00000 0.1233605742 1.7745474283    0.123 -0.542  3.4660  2.887    0  0.000  0.545     0.00     0.00 -1 -3.75e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.124 7.745 9.730 6.405
0.0152 0.01508 5.00000 0.1364372820 1.8713387160    0.136 -0.471  3.4727  2.887    0  0.000  0.545     0.00     0.00 -1 -4.19e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.947 7.531 9.480 6.201
0.0152 0.01508 5.00000 0.1432723850 1.9177305278    0.143 -0.437  3.4764  2.889    0  0.000  0.545     0.00     0.00 -1 -4.41e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.864 7.428 9.358 6.103
0.0152 0.01508 5.00000 0.1551610827 1.9925834162    0.155 -0.382  3.4830  2.894    0  0.000  0.545     0.00     0.00 -1 -4.79e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.724 7.256 9.152 5.940
0.0152 0.01508 5.00000 0.1625732780 2.0359117859    0.163 -0.349  3.4871  2.898    0  0.000  0.545     0.00     0.00 -1 -5.02e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.642 7.154 9.030 5.844
0.0152 0.01508 5.00000 0.1747228056 2.1017779541    0.175 -0.298  3.4939  2.906    0  0.000  0.545     0.00     0.00 -1 -5.39e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.515 6.993 8.835 5.694
0.0152 0.01508 5.00000 0.1877826303 2.1663570492    0.188 -0.244  3.5013  2.913    0  0.000  0.545     0.00     0.00 -1 -5.84e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.381 6.820 8.624 5.532
0.0152 0.01508 5.00000 0.2110983282 2.2683588923    0.211 -0.155  3.5135  2.923    0  0.000  0.545     0.00     0.00 -1 -6.69e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.157 6.522 8.249 5.258
0.0152 0.01508 5.00000 0.2282428592 2.3340055803    0.228 -0.098  3.5216  2.933    0  0.000  0.545     0.00     0.00 -1 -7.25e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.015 6.325 7.992 5.079
0.0152 0.01508 5.00000 0.2466103733 2.3971480278    0.247 -0.039  3.5299  2.940    0  0.000  0.545     0.00     0.00 -1 -7.93e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.867 6.112 7.711 4.887
0.0152 0.01508 5.00000 0.2724891901 2.4755315263    0.272  0.040  3.5412  2.950    0  0.000  0.545     0.00     0.00 -1 -8.95e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.669 5.792 7.259 4.612
0.0152 0.01508 5.00000 0.2994569838 2.5461799275    0.299  0.114  3.5519  2.959    0  0.000  0.545     0.00     0.00 -1    -1e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.484 5.481 6.815 4.350
0.0152 0.01508 5.00000 0.3000000119 2.5475040607    0.300  0.116  3.5521  2.959    0  0.000  0.545     0.00     0.00 -1    -1e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.480 5.475 6.807 4.345
0.0152 0.01508 5.00000 0.3163242936 2.5857064982    0.316  0.158  3.5578  2.963    0  0.000  0.545     0.00     0.00 -1 -1.07e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.375 5.300 6.562 4.198
0.0152 0.01508 5.00000 0.3500000238 2.6555201093    0.350  0.237  3.5688  2.973    0  0.000  0.545     0.00     0.00 -1 -1.21e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.179 4.978 6.113 3.931
0.0152 0.01508 5.00000 0.3837943673 2.7154985769    0.384  0.312  3.5783  2.975    0  0.000  0.545     0.00     0.00 -1 -1.37e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.989 4.689 5.730 3.686
0.0152 0.01508 5.00000 0.4000000358 2.7413371929    0.400  0.344  3.5825  2.978    0  0.000  0.545     0.00     0.00 -1 -1.44e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.910 4.566 5.569 3.582
0.0152 0.01508 5.00000 0.4235594273 2.7759115765    0.423  0.391  3.5880  2.978    0  0.000  0.545     0.00     0.00 -1 -1.56e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.793 4.393 5.349 3.434
0.0152 0.01508 5.00000 0.4500000477 2.8109800570    0.450  0.442  3.5937  2.976    0  0.000  0.545     0.00     0.00 -1  -1.7e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.665 4.209 5.121 3.275
0.0152 0.01508 5.00000 0.5000000000 2.8684779154    0.500  0.523  3.6031  2.978    0  0.000  0.545     0.00     0.00 -1 -1.95e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.462 3.924 4.769 3.026
0.0152 0.01508 5.00000 0.5367204547 2.9046458614    0.536  0.582  3.6088  2.973    0  0.000  0.545     0.00     0.00 -1 -2.16e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.315 3.729 4.538 2.852
0.0152 0.01508 5.00000 0.5500000119 2.9166348579    0.550  0.601  3.6109  2.972    0  0.000  0.545     0.00     0.00 -1 -2.23e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.266 3.664 4.461 2.795
0.0152 0.01508 5.00000 0.5997042060 2.9571759673    0.599  0.679  3.6174  2.958    0  0.000  0.545     0.00     0.00 -1 -2.61e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.072 3.422 4.181 2.574
0.0152 0.01508 5.00000 0.6000000238 2.9573988213    0.600  0.680  3.6174  2.958    0  0.000  0.545     0.00     0.00 -1 -2.61e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.070 3.420 4.180 2.573
0.0152 0.01508 5.00000 0.6429254413 2.9877330006    0.643  0.735  3.6223  2.953    0  0.000  0.545     0.00     0.00 -1 -2.87e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.933 3.250 3.983 2.418
0.0152 0.01508 5.00000 0.6499999762 2.9923687038    0.650  0.744  3.6230  2.951    0  0.000  0.545     0.00     0.00 -1 -2.93e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.910 3.221 3.951 2.392
0.0152 0.01508 5.00000 0.6925981045 3.0183382814    0.693  0.797  3.6271  2.943    0  0.000  0.545     0.00     0.00 -1 -3.23e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.779 3.064 3.773 2.247
0.0152 0.01508 5.00000 0.7000000477 3.0225380495    0.700  0.805  3.6279  2.942    0  0.000  0.545     0.00     0.00 -1 -3.28e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.758 3.039 3.744 2.224
0.0152 0.01508 5.00000 0.7308375239 3.0391464155    0.731  0.842  3.6329  2.944    0  0.000  0.540     0.00     0.00 -1 -3.48e-12      0.00 7.092e-01 2.755e-01 2.723e-03 7.402e-04 6.720e-03 -1.000 1.527e-02 2.666 2.916 3.599 2.117
0.0152 0.01508 5.00000 0.7500000000 3.0487992053    0.750  0.874  3.6357  2.934    0  0.000  0.538     0.00     0.00 -1 -3.75e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.585 2.820 3.490 2.029
0.0152 0.01508 5.00000 0.7928187251 3.0687313898    0.793  0.914  3.6387  2.930    0  0.000  0.538     0.00     0.00 -1 -4.02e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.484 2.702 3.359 1.919
0.0152 0.01508 5.00000 0.8000000119 3.0718705846    0.800  0.921  3.6392  2.929    0  0.000  0.538     0.00     0.00 -1 -4.06e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.468 2.683 3.337 1.902
0.0152 0.01508 5.00000 0.8097901344 3.0760584341    0.810  0.929  3.6399  2.929    0  0.000  0.538     0.00     0.00 -1 -4.11e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.448 2.659 3.311 1.880
0.0152 0.01508 5.00000 0.8500000238 3.0922228335    0.850  0.968  3.6423  2.921    0  0.000  0.538     0.00     0.00 -1 -4.43e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.351 2.550 3.192 1.778
0.0152 0.01508 5.00000 0.9000000358 3.1102610540    0.899  1.012  3.6450  2.912    0  0.000  0.538     0.00     0.00 -1 -4.83e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.239 2.425 3.056 1.660
0.0152 0.01508 5.00000 0.9500000477 3.1263561432    0.950  1.052  3.6475  2.905    0  0.000  0.538     0.00     0.00 -1  -5.2e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.139 2.312 2.934 1.554
0.0152 0.01508 5.00000 1.0000000000 3.1408039918    1.000  1.092  3.6498  2.897    0  0.000  0.538     0.00     0.00 -1  -5.6e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 2.039 2.201 2.814 1.450
0.0152 0.01508 5.00000 1.0499999523 3.1538087301    1.050  1.128  3.6519  2.891    0  0.000  0.538     0.00     0.00 -1 -5.55e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.950 2.103 2.708 1.357
0.0152 0.01508 5.00000 1.1000000238 3.1655414382    1.099  1.163  3.6538  2.883    0  0.000  0.538     0.00     0.00 -1 -5.48e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.862 2.007 2.605 1.266
0.0152 0.01508 5.00000 1.1499999762 3.1761762019    1.149  1.197  3.6556  2.876    0  0.000  0.538     0.00     0.00 -1 -5.35e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.779 1.915 2.508 1.179
0.0152 0.01508 5.00000 1.2000000477 3.1858571340    1.200  1.229  3.6572  2.869    0  0.000  0.538     0.00     0.00 -1 -5.17e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.697 1.826 2.413 1.094
0.0152 0.01508 5.00000 1.2272049189 3.1907674447    1.227  1.246  3.6581  2.866    0  0.000  0.538     0.00     0.00 -1 -5.03e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.656 1.782 2.366 1.052
0.0152 0.01508 5.00000 1.2500000000 3.1947043579    1.250  1.258  3.6588  2.864    0  0.000  0.538     0.00     0.00 -1 -4.91e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.624 1.747 2.328 1.019
0.0152 0.01508 5.00000 1.2999999523 3.2028072608    1.300  1.286  3.6603  2.859    0  0.000  0.538     0.00     0.00 -1 -4.58e-12      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.554 1.671 2.247 0.947
